Time CPU_mW GPU_mW Total_mW
5990 1246 283 1529
6000 1175 715 1890
6010 1086 49 1136
6020 880 0 880
6030 804 54 857
6040 740 49 789
6050 576 52 628
6060 744 53 798
6070 1204 201 1405
6080 1186 52 1238
6090 1297 169 1466
6100 1351 59 1410
6110 1922 53 1975
6120 943 55 998
6130 730 0 730
6140 959 160 1118
6150 648 50 697
6160 726 52 778
6170 423 53 476
6180 518 52 570
6190 421 158 578
6200 515 52 567
6210 415 104 519
6220 472 52 525
6230 470 52 522
6240 365 52 417
6250 468 52 520
6260 368 53 420
6270 641 53 694
6280 370 159 528
6290 309 154 463
6300 371 53 424
6310 802 53 855
6320 480 53 533
6330 266 0 266
6340 428 53 481
6350 536 146 683
6360 1227 0 1227
6370 7180 49 7229
6380 2631 0 2631
6390 6070 0 6070
6400 5432 0 5432
6410 7489 66 7555
6420 6963 0 6963
6430 7788 188 7976
6440 7801 0 7801
6450 6537 0 6537
6460 5397 0 5397
6470 4394 60 4455
6480 3691 0 3691
6490 3982 0 3982
6500 2814 0 2814
6510 2099 590 2689
6520 2416 0 2416
6530 5112 0 5112
6540 4768 0 4768
6550 5981 0 5981
6560 6529 0 6529
6570 5652 0 5652
6580 4915 0 4915
6590 7085 0 7085
6600 4135 0 4135
6610 7715 0 7715
6620 7285 256 7541
6630 7421 498 7920
6640 7277 0 7277
6650 7155 313 7468
6660 4592 631 5223
6670 2295 1976 4271
6680 1206 181 1387
6690 1510 0 1510
6700 4902 0 4902
6710 1781 0 1781
6720 796 0 796
6730 2706 0 2706
6740 855 0 855
6750 314 0 314
6760 342 0 342
6770 203 0 203
6780 299 0 299
6790 193 0 193
6800 300 0 300
6810 446 0 446
6820 364 0 364
6830 688 0 688
6840 484 0 484
6850 378 0 378
6860 217 0 217
6870 214 0 214
6880 316 0 316
6890 207 0 207
6900 311 0 311
6910 476 0 476
6920 215 0 215
6930 215 0 215
6940 324 0 324
6950 247 0 247
6960 205 0 205
6970 478 0 478
6980 475 0 475
6990 267 0 267
7000 265 0 265
7010 310 0 310
7020 258 0 258
7030 204 0 204
7040 256 0 256
7050 101 0 101
7060 313 0 313
7070 212 0 212
7080 462 0 462
7090 575 0 575
7100 578 0 578
7110 1182 0 1182
7120 1404 0 1404
7130 436 0 436
7140 1227 0 1227
7150 2539 0 2539
7160 1698 0 1698
7170 3614 0 3614
7180 2488 0 2488
7190 6068 276 6344
7200 2180 666 2846
7210 3020 523 3543
7220 2038 204 2242
7230 3328 215 3543
7240 3978 257 4234
7250 2560 0 2560
7260 2352 0 2352
7270 2326 0 2326
7280 4132 0 4132
7290 4026 0 4026
7300 3496 0 3496
7310 4935 0 4935
7320 6106 0 6106
7330 5128 709 5838
7340 4564 351 4916
7350 6013 557 6570
7360 4531 530 5060
7370 3383 1050 4433
