Time CPU_mW GPU_mW Total_mW
5370 556 0 556
5380 1273 0 1273
5390 579 0 579
5400 1322 0 1322
5410 929 0 929
5420 407 0 407
5430 157 0 157
5440 621 0 621
5450 366 0 366
5460 207 0 207
5470 419 0 419
5480 1093 0 1093
5490 467 0 467
5500 945 0 945
5510 1076 0 1076
5520 1022 0 1022
5530 1024 0 1024
5540 3029 0 3029
5550 1257 0 1257
5560 370 0 370
5570 544 0 544
5580 285 0 285
5590 211 0 211
5600 259 0 259
5610 345 0 345
5620 260 0 260
5630 212 0 212
5640 362 0 362
5650 265 0 265
5660 265 0 265
5670 464 0 464
5680 321 0 321
5690 366 0 366
5700 313 0 313
5710 699 0 699
5720 907 0 907
5730 931 0 931
5740 376 0 376
5750 360 0 360
5760 260 0 260
5770 157 0 157
5780 356 0 356
5790 420 0 420
5800 450 0 450
5810 210 0 210
5820 525 0 525
5830 413 0 413
5840 413 0 413
5850 266 0 266
5860 377 0 377
5870 597 0 597
5880 518 0 518
5890 626 0 626
5900 389 0 389
5910 415 0 415
5920 213 0 213
5930 750 0 750
5940 630 0 630
5950 306 0 306
5960 375 0 375
5970 418 0 418
5980 206 0 206
5990 712 0 712
6000 715 0 715
6010 260 0 260
6020 269 0 269
6030 370 0 370
6040 353 0 353
6050 318 0 318
6060 305 0 305
6070 595 0 595
6080 418 0 418
6090 547 0 547
6100 460 0 460
6110 801 0 801
6120 1027 0 1027
6130 985 0 985
6140 2162 0 2162
6150 515 0 515
6160 97 0 97
6170 348 0 348
6180 353 0 353
6190 375 0 375
6200 209 0 209
6210 381 0 381
6220 424 0 424
6230 1124 0 1124
6240 511 0 511
6250 414 0 414
6260 262 0 262
6270 320 0 320
6280 151 0 151
6290 354 0 354
6300 477 0 477
6310 347 0 347
6320 197 0 197
6330 337 0 337
6340 421 0 421
6350 161 0 161
6360 308 0 308
6370 517 0 517
6380 314 0 314
6390 426 0 426
6400 204 0 204
6410 472 0 472
6420 394 0 394
6430 537 0 537
6440 266 0 266
6450 263 0 263
6460 509 0 509
6470 456 0 456
6480 160 0 160
6490 413 0 413
6500 703 0 703
6510 308 0 308
6520 214 0 214
6530 712 0 712
6540 1071 0 1071
6550 1864 0 1864
6560 1921 0 1921
6570 1756 0 1756
6580 1664 0 1664
6590 3012 0 3012
6600 1569 0 1569
6610 1600 0 1600
6620 1908 0 1908
6630 3000 0 3000
6640 3818 0 3818
6650 1565 0 1565
6660 470 0 470
6670 395 0 395
6680 171 0 171
6690 377 0 377
6700 1187 0 1187
6710 1068 0 1068
6720 653 0 653
6730 368 0 368
6740 219 0 219
6750 359 0 359
6760 315 0 315
6770 324 0 324
6780 212 0 212
6790 539 0 539
6800 526 0 526
6810 318 0 318
6820 260 0 260
6830 507 0 507
6840 307 0 307
6850 428 0 428
6860 371 0 371
6870 629 0 629
6880 634 0 634
6890 356 0 356
6900 361 0 361
6910 583 0 583
6920 734 0 734
6930 837 0 837
6940 1034 0 1034
6950 962 0 962
6960 696 0 696
6970 789 0 789
6980 1682 0 1682
6990 941 0 941
7000 469 0 469
7010 1011 0 1011
7020 1118 0 1118
7030 1194 0 1194
7040 755 0 755
7050 1478 0 1478
7060 1078 0 1078
7070 882 0 882
7080 1288 0 1288
7090 2122 0 2122
7100 2240 0 2240
7110 3853 0 3853
7120 3514 0 3514
7130 1115 0 1115
7140 597 0 597
7150 655 0 655
7160 213 0 213
7170 434 0 434
7180 522 0 522
7190 511 0 511
7200 157 0 157
7210 295 0 295
7220 350 0 350
7230 208 0 208
7240 317 0 317
7250 695 0 695
7260 855 0 855
7270 312 0 312
7280 539 0 539
7290 213 0 213
7300 215 0 215
7310 414 0 414
7320 430 0 430
7330 426 0 426
7340 154 0 154
7350 389 0 389
7360 478 0 478
7370 376 0 376
7380 254 0 254
7390 418 0 418
7400 299 0 299
7410 210 0 210
7420 576 0 576
7430 1165 0 1165
7440 1047 0 1047
7450 197 0 197
7460 300 0 300
7470 799 0 799
7480 416 0 416
7490 161 0 161
7500 374 0 374
7510 314 0 314
7520 213 0 213
7530 356 0 356
7540 365 0 365
7550 263 0 263
7560 159 0 159
7570 368 0 368
7580 323 0 323
7590 461 0 461
7600 357 0 357
7610 558 0 558
7620 515 0 515
7630 266 0 266
7640 485 0 485
7650 469 0 469
7660 421 0 421
7670 422 0 422
7680 779 0 779
7690 429 0 429
7700 157 0 157
7710 412 0 412
7720 412 0 412
7730 368 0 368
7740 784 0 784
7750 1471 0 1471
7760 1198 0 1198
7770 1264 0 1264
7780 2129 0 2129
7790 813 0 813
7800 547 0 547
7810 583 0 583
7820 430 0 430
7830 323 0 323
7840 533 0 533
7850 878 0 878
7860 1000 0 1000
7870 690 0 690
7880 953 0 953
7890 483 0 483
7900 454 0 454
7910 506 0 506
7920 358 0 358
7930 590 0 590
7940 470 0 470
7950 340 0 340
7960 400 0 400
7970 726 0 726
7980 560 0 560
7990 533 0 533
8000 1077 0 1077
8010 1038 0 1038
8020 1400 0 1400
8030 2039 0 2039
8040 2079 0 2079
8050 2332 0 2332
8060 2463 0 2463
8070 2282 0 2282
8080 2624 0 2624
8090 2466 0 2466
8100 1647 0 1647
8110 2385 0 2385
8120 2243 0 2243
8130 2253 0 2253
8140 2081 0 2081
8150 1289 0 1289
8160 917 0 917
8170 914 0 914
8180 475 0 475
8190 744 0 744
8200 515 0 515
8210 565 0 565
8220 500 0 500
8230 576 0 576
8240 944 0 944
8250 770 0 770
8260 651 0 651
8270 502 0 502
8280 533 0 533
8290 770 0 770
8300 585 0 585
8310 660 0 660
8320 793 0 793
8330 826 0 826
8340 528 0 528
8350 457 0 457
8360 467 0 467
8370 466 0 466
8380 434 0 434
8390 368 0 368
8400 212 0 212
8410 1032 0 1032
8420 432 0 432
8430 218 0 218
8440 455 0 455
8450 367 0 367
8460 262 0 262
8470 366 0 366
8480 642 0 642
8490 553 0 553
8500 205 0 205
8510 241 0 241
8520 397 0 397
8530 313 0 313
8540 258 0 258
8550 154 0 154
8560 370 0 370
8570 469 0 469
8580 259 0 259
8590 205 0 205
8600 822 0 822
8610 763 0 763
8620 210 0 210
8630 885 0 885
8640 369 0 369
8650 323 0 323
8660 263 0 263
8670 415 0 415
8680 477 0 477
8690 411 0 411
8700 210 0 210
8710 396 0 396
8720 754 0 754
8730 632 0 632
8740 268 0 268
8750 592 0 592
8760 371 0 371
8770 214 0 214
8780 271 0 271
8790 709 0 709
8800 309 0 309
8810 326 0 326
8820 430 0 430
8830 808 0 808
8840 156 0 156
8850 874 0 874
8860 313 0 313
8870 211 0 211
8880 413 0 413
8890 382 0 382
8900 320 0 320
8910 212 0 212
8920 389 0 389
8930 643 0 643
8940 371 0 371
8950 327 0 327
8960 377 0 377
8970 431 0 431
8980 157 0 157
8990 473 0 473
9000 327 0 327
9010 372 0 372
9020 156 0 156
9030 357 0 357
9040 680 0 680
9050 475 0 475
9060 469 0 469
9070 408 0 408
9080 360 0 360
9090 154 0 154
9100 417 0 417
9110 416 0 416
9120 415 0 415
9130 158 0 158
9140 361 0 361
9150 324 0 324
9160 372 0 372
9170 160 0 160
9180 725 0 725
9190 431 0 431
9200 425 0 425
9210 357 0 357
9220 375 0 375
9230 429 0 429
9240 218 0 218
9250 1025 0 1025
9260 523 0 523
9270 312 0 312
9280 647 0 647
9290 360 0 360
9300 211 0 211
9310 535 0 535
9320 307 0 307
9330 441 0 441
9340 303 0 303
9350 775 0 775
9360 974 0 974
9370 961 0 961
9380 1867 0 1867
9390 2279 0 2279
9400 1711 0 1711
9410 741 0 741
9420 695 0 695
9430 2246 0 2246
9440 2288 0 2288
9450 2104 0 2104
9460 1502 0 1502
9470 895 0 895
9480 153 0 153
9490 532 0 532
9500 504 0 504
9510 358 0 358
9520 156 0 156
9530 902 0 902
9540 581 0 581
9550 420 0 420
9560 693 0 693
9570 963 0 963
9580 760 0 760
9590 707 0 707
9600 1239 0 1239
9610 1449 0 1449
9620 1174 0 1174
9630 2506 0 2506
9640 1034 0 1034
9650 1142 0 1142
9660 1558 0 1558
9670 1398 0 1398
9680 1112 0 1112
9690 1676 0 1676
9700 1239 0 1239
9710 1252 0 1252
9720 1183 0 1183
9730 1209 0 1209
9740 1206 0 1206
9750 1125 0 1125
9760 1257 0 1257
9770 1360 0 1360
9780 1419 0 1419
9790 1184 0 1184
9800 2666 0 2666
9810 1276 0 1276
9820 977 0 977
9830 1708 0 1708
9840 1327 0 1327
9850 1252 0 1252
9860 1415 0 1415
9870 1324 0 1324
9880 1148 0 1148
9890 1545 0 1545
9900 1144 0 1144
9910 1021 0 1021
9920 973 0 973
9930 1340 0 1340
9940 1304 0 1304
9950 1053 0 1053
9960 1617 0 1617
9970 1719 0 1719
9980 1016 0 1016
9990 1534 0 1534
10000 1369 0 1369
10010 1216 0 1216
10020 1327 0 1327
10030 1211 0 1211
10040 1101 0 1101
10050 1129 0 1129
10060 1548 0 1548
10070 1159 0 1159
10080 1233 0 1233
10090 1150 0 1150
10100 1291 0 1291
10110 2234 0 2234
10120 1371 0 1371
10130 1562 0 1562
10140 2530 0 2530
10150 857 0 857
10160 435 0 435
10170 893 0 893
10180 975 0 975
10190 827 0 827
10200 2012 0 2012
10210 1963 0 1963
10220 2300 0 2300
10230 3378 0 3378
10240 3851 0 3851
10250 3791 0 3791
10260 3623 0 3623
10270 4301 0 4301
10280 4238 0 4238
10290 4234 0 4234
10300 4242 0 4242
10310 4381 0 4381
10320 4407 0 4407
10330 4103 0 4103
10340 4527 0 4527
10350 4438 0 4438
10360 2140 0 2140
10370 1022 0 1022
10380 1084 0 1084
10390 798 0 798
10400 646 0 646
10410 409 0 409
10420 510 0 510
10430 467 0 467
10440 441 0 441
10450 376 0 376
10460 511 0 511
10470 509 0 509
10480 474 0 474
10490 1029 0 1029
10500 1357 0 1357
10510 524 0 524
10520 371 0 371
10530 466 0 466
10540 583 0 583
10550 893 0 893
10560 1091 0 1091
10570 961 0 961
10580 408 0 408
10590 158 0 158
10600 369 0 369
10610 422 0 422
10620 368 0 368
10630 215 0 215
10640 435 0 435
10650 366 0 366
10660 209 0 209
10670 299 0 299
10680 362 0 362
10690 319 0 319
10700 208 0 208
10710 834 0 834
10720 615 0 615
10730 414 0 414
10740 264 0 264
10750 592 0 592
10760 408 0 408
10770 321 0 321
10780 497 0 497
10790 1253 0 1253
10800 597 0 597
10810 500 0 500
10820 429 0 429
10830 211 0 211
10840 319 0 319
10850 430 0 430
10860 371 0 371
10870 210 0 210
10880 397 0 397
10890 433 0 433
10900 161 0 161
10910 431 0 431
10920 318 0 318
10930 159 0 159
10940 408 0 408
10950 524 0 524
10960 418 0 418
10970 209 0 209
10980 718 0 718
10990 564 0 564
11000 310 0 310
11010 207 0 207
11020 322 0 322
11030 428 0 428
11040 209 0 209
11050 367 0 367
11060 306 0 306
11070 255 0 255
11080 303 0 303
11090 251 0 251
11100 476 0 476
11110 573 0 573
11120 528 0 528
11130 674 0 674
11140 315 0 315
11150 470 0 470
11160 209 0 209
11170 417 0 417
11180 384 0 384
11190 483 0 483
11200 214 0 214
11210 430 0 430
11220 429 0 429
11230 218 0 218
11240 483 0 483
11250 416 0 416
11260 518 0 518
11270 159 0 159
11280 440 0 440
11290 318 0 318
11300 274 0 274
11310 212 0 212
11320 450 0 450
11330 372 0 372
11340 214 0 214
11350 532 0 532
11360 495 0 495
11370 160 0 160
11380 428 0 428
11390 326 0 326
11400 323 0 323
11410 154 0 154
11420 392 0 392
11430 735 0 735
11440 738 0 738
11450 956 0 956
11460 1079 0 1079
11470 980 0 980
11480 219 0 219
11490 366 0 366
11500 360 0 360
11510 348 0 348
11520 152 0 152
11530 413 0 413
11540 316 0 316
11550 480 0 480
11560 162 0 162
11570 430 0 430
11580 373 0 373
11590 161 0 161
11600 428 0 428
11610 530 0 530
11620 1046 0 1046
11630 1499 0 1499
11640 1029 0 1029
11650 373 0 373
11660 280 0 280
11670 316 0 316
11680 316 0 316
11690 213 0 213
11700 651 0 651
11710 366 0 366
11720 377 0 377
11730 211 0 211
11740 363 0 363
11750 307 0 307
11760 212 0 212
11770 348 0 348
11780 315 0 315
11790 419 0 419
11800 154 0 154
11810 618 0 618
11820 472 0 472
11830 526 0 526
11840 154 0 154
11850 597 0 597
11860 886 0 886
11870 1252 0 1252
11880 267 0 267
11890 500 0 500
11900 479 0 479
11910 159 0 159
11920 486 0 486
11930 434 0 434
11940 160 0 160
11950 314 0 314
11960 376 0 376
11970 322 0 322
11980 216 0 216
11990 480 0 480
12000 374 0 374
12010 158 0 158
12020 408 0 408
12030 435 0 435
12040 321 0 321
12050 161 0 161
12060 410 0 410
12070 413 0 413
12080 321 0 321
12090 208 0 208
12100 307 0 307
12110 455 0 455
12120 258 0 258
12130 210 0 210
12140 537 0 537
12150 931 0 931
12160 722 0 722
12170 261 0 261
12180 383 0 383
12190 319 0 319
12200 267 0 267
12210 264 0 264
12220 530 0 530
12230 350 0 350
12240 302 0 302
12250 260 0 260
12260 376 0 376
12270 431 0 431
12280 212 0 212
12290 417 0 417
12300 306 0 306
12310 264 0 264
12320 266 0 266
12330 424 0 424
12340 495 0 495
12350 759 0 759
12360 672 0 672
12370 420 0 420
12380 689 0 689
12390 473 0 473
12400 596 0 596
12410 526 0 526
12420 162 0 162
12430 406 0 406
12440 357 0 357
12450 370 0 370
12460 209 0 209
12470 322 0 322
12480 401 0 401
12490 160 0 160
12500 413 0 413
12510 326 0 326
12520 322 0 322
12530 161 0 161
12540 593 0 593
12550 473 0 473
12560 696 0 696
12570 750 0 750
12580 436 0 436
12590 466 0 466
12600 206 0 206
12610 308 0 308
12620 375 0 375
12630 374 0 374
12640 158 0 158
12650 427 0 427
12660 412 0 412
12670 571 0 571
12680 937 0 937
12690 862 0 862
12700 355 0 355
12710 212 0 212
12720 357 0 357
12730 369 0 369
12740 487 0 487
12750 411 0 411
12760 157 0 157
12770 373 0 373
12780 474 0 474
12790 373 0 373
12800 153 0 153
12810 349 0 349
12820 424 0 424
12830 261 0 261
12840 462 0 462
12850 376 0 376
12860 364 0 364
12870 263 0 263
12880 359 0 359
12890 520 0 520
12900 837 0 837
12910 206 0 206
12920 435 0 435
12930 421 0 421
12940 160 0 160
12950 524 0 524
12960 640 0 640
12970 463 0 463
12980 159 0 159
12990 425 0 425
13000 447 0 447
13010 536 0 536
13020 362 0 362
13030 322 0 322
13040 723 0 723
13050 371 0 371
13060 520 0 520
13070 376 0 376
13080 317 0 317
13090 264 0 264
13100 443 0 443
13110 535 0 535
13120 212 0 212
13130 460 0 460
13140 431 0 431
13150 212 0 212
13160 684 0 684
13170 750 0 750
13180 666 0 666
13190 987 0 987
13200 532 0 532
13210 267 0 267
13220 313 0 313
13230 441 0 441
13240 212 0 212
13250 624 0 624
13260 598 0 598
13270 424 0 424
13280 255 0 255
13290 361 0 361
13300 427 0 427
13310 304 0 304
13320 609 0 609
13330 901 0 901
13340 364 0 364
13350 327 0 327
13360 214 0 214
13370 378 0 378
13380 353 0 353
13390 211 0 211
13400 312 0 312
13410 333 0 333
13420 469 0 469
13430 373 0 373
13440 221 0 221
13450 426 0 426
13460 429 0 429
13470 159 0 159
13480 436 0 436
13490 314 0 314
13500 436 0 436
13510 157 0 157
13520 305 0 305
13530 423 0 423
13540 380 0 380
13550 573 0 573
13560 909 0 909
13570 474 0 474
13580 158 0 158
13590 359 0 359
13600 382 0 382
13610 356 0 356
13620 213 0 213
13630 425 0 425
13640 429 0 429
13650 160 0 160
13660 464 0 464
13670 649 0 649
13680 414 0 414
13690 158 0 158
13700 597 0 597
13710 681 0 681
13720 903 0 903
13730 550 0 550
13740 291 0 291
13750 367 0 367
13760 160 0 160
13770 824 0 824
13780 374 0 374
13790 318 0 318
13800 216 0 216
13810 507 0 507
13820 528 0 528
13830 269 0 269
13840 462 0 462
13850 544 0 544
13860 412 0 412
13870 264 0 264
13880 556 0 556
13890 422 0 422
13900 163 0 163
13910 504 0 504
13920 434 0 434
13930 213 0 213
13940 417 0 417
13950 428 0 428
13960 427 0 427
13970 266 0 266
13980 792 0 792
13990 429 0 429
14000 162 0 162
14010 401 0 401
14020 381 0 381
14030 164 0 164
14040 407 0 407
14050 404 0 404
14060 420 0 420
14070 266 0 266
14080 1238 0 1238
14090 534 0 534
14100 159 0 159
14110 660 0 660
14120 366 0 366
14130 162 0 162
14140 403 0 403
14150 367 0 367
14160 418 0 418
14170 1453 0 1453
14180 708 0 708
14190 846 0 846
14200 1262 0 1262
14210 1786 0 1786
14220 2443 0 2443
14230 3878 0 3878
14240 5116 55 5171
14250 1629 0 1629
14260 1314 0 1314
14270 428 0 428
14280 431 0 431
14290 924 0 924
14300 1721 0 1721
14310 1072 0 1072
14320 525 0 525
14330 965 0 965
14340 532 0 532
14350 473 0 473
14360 795 0 795
14370 403 0 403
14380 360 0 360
14390 260 0 260
14400 473 0 473
14410 433 0 433
14420 471 0 471
14430 260 0 260
14440 445 0 445
14450 309 0 309
14460 311 0 311
